Copper, Concentration
0.00M, 0.045
0.00M, 0.047
0.00M, 0.051
0.00M, 0.054
0.05M, 0.084
0.05M, 0.087
0.10M, 0.115
0.10M, 0.116
0.20M, 0.183
0.20M, 0.191
0.50M, 0.395
0.50M, 0.399
